"name","address","price","lon","lat"
"百美民宿","新北市 貢寮區福連村福興街6號",1400,121.9459786,25.0168762
"三才靈芝農場民宿","新北市 石碇區中民村18重溪52之1號",1290,121.6452827,25.0098662
"迷你谷渡假民宿","新北市 烏來區烏來里啦卡路20號",3100,121.5546894,24.861984
"龍門溫泉民宿","新北市 烏來區烏來村溫泉街116號",2300,121.556456,24.853993
"揚悅(烏來館)","新北市 烏來區烏來街6號",2400,121.5264661,24.8417744
"飄雲古舍","新北市 三峽區竹崙里三層坪路14號",2200,121.4442087,24.9024018
"福容大飯店(三鶯)","新北市 三峽區大學路63號",4600,121.3764657,24.94098
"花岩山林民宿","新北市 三峽區有木里有木104之1號",3200,121.4394124,24.8652907
"阿桂的家","新北市 三峽區金圳里金敏52-1號",2400,121.3844716,24.8742358
"都瑪斯民宿","苗栗縣 泰安鄉梅園村梅園一鄰27號",1000,120.965073,24.385583
"土牧驛健康農莊","苗栗縣 泰安鄉八卦村4鄰59之3號",3000,120.9474747,24.4933041
"湯唯民宿","苗栗縣 泰安鄉錦水村橫龍山72-2號",4000,120.9690645,24.4691896
"楚留香民宿","苗栗縣 泰安鄉清安村洗水坑114號",1398,120.91909,24.442919
"天然居","苗栗縣 泰安鄉清安村3鄰小南角20號",1800,120.913698,24.442347
"友泰民宿溫泉館","苗栗縣 泰安鄉錦水村圓墩46-2號",1800,120.95301,24.4683162
"達拉灣民宿","苗栗縣 泰安鄉士林村馬那邦5鄰32之1號",2000,120.9245216,24.3491218
"ㄠ嶩民宿","苗栗縣 泰安鄉梅園村2鄰23號",1380,120.9656594,24.385055
"泰雅風情","苗栗縣 泰安鄉錦水村4鄰圓墩5號",1500,120.938354,24.4655739
"李子園民宿","苗栗縣 泰安鄉象鼻村象鼻39-5號",500,120.9471885,24.3585468
"幸福綠光民宿","苗栗縣 南庄鄉南江村小東河17之3號",3000,120.99508,24.575686
"栗田庄","苗栗縣 南庄鄉南江村小東河17之2號",2560,120.996053,24.5749145
"翡翠別館","苗栗縣 南庄鄉員林村15鄰屯營68號",38800,120.9859434,24.6345767
"左岸LED庭園","苗栗縣 南庄鄉東河村東興新邨1鄰176號",2200,121.0449768,24.5618094
"普羅旺斯民宿","苗栗縣 南庄鄉蓬萊村9鄰42份8之35號",3150,120.964071,24.5338768
"米堤山莊","苗栗縣 南庄鄉南江村里金館40號",1900,120.996814,24.5875534
"藝欣山莊","苗栗縣 南庄鄉東村16鄰240號",1750,120.9997551,24.5996287
"鳳櫻","苗栗縣 南庄鄉蓬萊村9鄰42份8之9號",2100,120.9612717,24.5351404
"星宿景觀咖啡民宿","苗栗縣 南庄鄉蓬萊村四鄰53之1號",2000,120.962739,24.534435
"桐顏桐雨花漾會館","苗栗縣 南庄鄉蓬萊村42份8-18號",3800,120.96101,24.5356196
"山行寄野","苗栗縣 南庄鄉東河村12鄰25之1號",3300,121.0449768,24.5618094
"橄欖樹咖啡民宿","苗栗縣 南庄鄉蓬萊村九鄰42份7之6號",2600,120.9658607,24.5353892
"八卦力渡假村","苗栗縣 南庄鄉蓬萊村八卦力25之1號",1920,120.96005,24.5271096
"力新小築民宿","苗栗縣 南庄鄉南江村5鄰東江100號",1600,121.0007077,24.5951759
"紅磚屋特色民宿","苗栗縣 南庄鄉南江村里金館32之3號",2380,120.997713,24.5855711
"里京館","苗栗縣 南庄鄉南江村里金館33號",2100,120.997822,24.5852253
"宜家園","苗栗縣 南庄鄉南江村小東河1之1號",1600,120.991494,24.581248
"杉林松境","苗栗縣 南庄鄉東河村橫屏背26號",1960,121.0412449,24.6150836
"容園谷景觀山莊","苗栗縣 南庄鄉蓬萊村18鄰17號",2000,120.962739,24.534435
"玉荷園","苗栗縣 南庄鄉東河村中正路242號",2240,121.0015118,24.6053155
"水雲間","苗栗縣 南庄鄉東河村六隘寮23號",2000,121.0513226,24.6120636
"源寶山莊","苗栗縣 南庄鄉南江村19鄰南江2號",1600,120.9823299,24.5704279
"山居蘭園","苗栗縣 南庄鄉南富村四灣77-1號",2000,120.9876125,24.6164991
"百合山莊","苗栗縣 南庄鄉南江村17鄰福南50號",3200,120.9854226,24.5742062
"南江璞園","苗栗縣 南庄鄉南江村3鄰東江31之8號",1600,121.010467,24.598272
"眉山居","苗栗縣 南庄鄉田美村106號",2000,121.0115203,24.6290933
"李家莊","苗栗縣 南庄鄉東河村橫屏背22號",1600,121.0348406,24.6195305
"南庄晶華","苗栗縣 南庄鄉蓬萊村9鄰42份7號之3",2800,120.967056,24.536434
"山林雅境總統民宿","苗栗縣 南庄鄉田美村12鄰1號",2904,121.0097481,24.6209775
"向天湖咖啡民宿","苗栗縣 南庄鄉向天湖16鄰26號",2080,121.0343163,24.5831367
"好山好水木屋民宿","苗栗縣 南庄鄉蓬萊村4鄰53號",2800,120.962739,24.534435
"小哥的家","苗栗縣 南庄鄉南江村石坑3之2號",1500,120.9823299,24.5704279
"譚家園","苗栗縣 南庄鄉田美村田美23之7號",15800,121.0107196,24.6335144
"高山青民宿","苗栗縣 南庄鄉蓬萊村14鄰大湳30號",1600,120.9723876,24.5244647
"景舍民宿休閒山莊","苗栗縣 南庄鄉蓬萊村9鄰42分8之17號",2200,120.964071,24.5338768
"伴月民宿","苗栗縣 南庄鄉蓬萊村紅毛館68之1號",12000,120.9781582,24.5421125
"毓琇圖書山莊","苗栗縣 南庄鄉南江村里金館35號",1650,120.998214,24.585298
"北獅樓","苗栗縣 南庄鄉蓬萊村紅毛館45號",1760,120.9761599,24.5347997
"松緣民宿","苗栗縣 南庄鄉田美村田美22之22號",12000,121.0116811,24.611066
"逗號民宿","苗栗縣 南庄鄉南江村17鄰福南58號",3300,120.9997087,24.5944138
"富川花園民宿","苗栗縣 南庄鄉環清路36號",2660,121.0105733,24.5802942
"水岸明珠","苗栗縣 南庄鄉西村大屋坑32之5號",2900,120.9940644,24.5952856
"加州莊園","苗栗縣 南庄鄉蓬萊村42份8之39號",2800,120.964071,24.5338768
"侑橘休閒農園","苗栗縣 三灣鄉永和村北坑12-1號",2000,120.933666,24.6434081
"神棹仙境民宿","苗栗縣 三灣鄉大河村神棹山20號",1200,120.9467793,24.617714
"八角居所民宿","苗栗縣 獅潭鄉新豐村八角坑2之1號",7000,120.893548,24.480932
"月桂冠花園農莊","苗栗縣 獅潭鄉苗栗縣獅潭鄉新店村4鄰46之5號",2900,120.92055,24.5393754
"桂橘園","苗栗縣 獅潭鄉永興村3鄰16-7號",1920,120.928782,24.55859
"七里香民宿","苗栗縣 獅潭鄉竹木村4鄰北庄8號",1280,120.8900839,24.4635906
"福村養生農場","苗栗縣 公館鄉福德村1鄰7之1號",2000,120.8525396,24.4636302
"皇家民宿","苗栗縣 公館鄉館南村10鄰265之1號",1200,120.8254872,24.4954906
"攬月莊民宿","苗栗縣 公館鄉福德村福德35之2號",2400,120.8562061,24.4772546
"油桐花坊","苗栗縣 公館鄉福德村打鹿坑福德35-3號",6800,120.8552848,24.4768436
"夢松園","苗栗縣 公館鄉仁安村15鄰220-2號",2000,120.8412807,24.5252914
"My Home 51-6","苗栗縣 公館鄉福星村2鄰51之6號",2800,120.8355378,24.4838865
"鹿野觀雲民宿","苗栗縣 公館鄉福德村福德35-11號",2100,120.8549439,24.4635689
"柿子紅了","苗栗縣 公館鄉福德村福德21號",1600,120.8496302,24.4673991
"綠風山莊","苗栗縣 公館鄉福德村4鄰福德36之21號",2500,120.8496302,24.4673991
"摘星樓","苗栗縣 公館鄉福德村福德35之6號",2100,120.8566417,24.4760132
"慕農客民宿","苗栗縣 公館鄉開礦村1鄰22之10號",3280,120.8527655,24.4533208
